Architecture,Alpha,StationID,ATMP,DEWP,PRES,WDIR,WSPD,WTMP
LSTM,0.3,42019,0.246,0.469,0.352,0.602,0.596,0.006
LSTM,0.3,42020,0.44,0.56,0.429,28.359,0.678,0.234
LSTM,0.3,42035,0.034,0.049,0.05,0.403,0.032,0.004
LSTM,0.3,42036,0.286,0.492,0.546,24.917,1.234,
LSTM,0.3,42039,0.6,,0.587,38.456,2.223,0.003
LSTM,0.3,42040,0.38,0.256,0.554,10.102,1.142,0.11
LSTM,0.4,42001,0.6,0.55,0.397,46.131,1.212,0.071
LSTM,0.4,42002,0.162,0.015,0.4,29.992,0.785,0.005
LSTM,0.4,42003,0.005,0.008,0.017,3.738,0.016,0.004
LSTM,0.4,42019,0.25,0.469,0.355,7.685,0.598,0.005
LSTM,0.4,42020,0.429,0.556,0.422,30.009,0.689,0.235
LSTM,0.4,42035,0.022,0.034,0.047,3.367,0.022,0.004
LSTM,0.4,42036,0.285,0.494,0.556,30.396,1.237,
LSTM,0.4,42039,0.597,,0.593,39.92,2.229,0.005
LSTM,0.4,42040,0.384,0.256,0.57,16.07,1.143,0.109
LSTM,0.5,42001,0.602,0.552,0.401,49.3,1.209,0.071
LSTM,0.5,42002,0.16,0.021,0.403,30.145,0.79,0.01
LSTM,0.5,42003,0.005,0.007,0.016,5.689,0.015,0.005
LSTM,0.5,42019,0.235,0.461,0.374,4.682,0.594,0.009
LSTM,0.5,42020,0.423,0.552,0.437,29.799,0.689,0.234
LSTM,0.5,42035,0.014,0.027,0.034,7.293,0.014,0.006
LSTM,0.5,42036,0.288,0.492,0.548,30.207,1.234,
LSTM,0.5,42039,0.596,,0.599,47.696,2.227,0.004
LSTM,0.5,42040,0.381,0.26,0.566,26.944,1.13,0.108
LSTM,0.6,42001,0.6,0.553,0.401,44.787,1.215,0.071
LSTM,0.6,42002,0.159,0.015,0.409,30.093,0.792,0.005
LSTM,0.6,42003,0.005,0.01,0.017,5.116,0.023,0.004
LSTM,0.6,42019,0.233,0.46,0.372,5.111,0.604,0.003
LSTM,0.6,42020,0.425,0.554,0.441,39.002,0.685,0.235
LSTM,0.6,42035,0.018,0.03,0.027,6.134,0.023,0.006
LSTM,0.6,42036,0.292,0.498,0.556,32.033,1.245,
LSTM,0.6,42039,0.597,,0.594,43.915,2.232,0.006
LSTM,0.6,42040,0.384,0.267,0.566,11.291,1.128,0.109
LSTM,0.7,42001,0.597,0.548,0.39,44.484,1.213,0.071
LSTM,0.7,42002,0.161,0.02,0.405,30.095,0.792,0.007
LSTM,0.7,42003,0.003,0.008,0.022,4.545,0.014,0.004
LSTM,0.7,42019,0.244,0.46,0.363,5.738,0.597,0.007
LSTM,0.7,42020,0.422,0.545,0.436,29.923,0.675,0.235
LSTM,0.7,42035,0.02,0.035,0.041,10.439,0.026,0.003
LSTM,0.7,42036,0.293,0.496,0.553,28.265,1.237,
LSTM,0.7,42039,0.599,,0.586,43.112,2.216,0.005
LSTM,0.7,42040,0.379,0.259,0.563,17.717,1.142,0.109
LSTM,0.8,42001,0.601,0.549,0.399,46.617,1.211,0.071
LSTM,0.8,42002,0.155,0.017,0.403,30.798,0.793,0.005
LSTM,0.8,42003,0.006,0.007,0.012,3.288,0.017,0.005
LSTM,0.8,42019,0.232,0.467,0.379,7.342,0.62,0.007
LSTM,0.8,42020,0.419,0.549,0.443,43.099,0.681,0.234
LSTM,0.8,42035,0.009,0.021,0.012,5.053,0.02,0.005
LSTM,0.8,42036,0.287,0.49,0.553,35.141,1.231,
LSTM,0.8,42039,0.598,,0.588,45.383,2.236,0.003
LSTM,0.8,42040,0.375,0.253,0.566,15.178,1.134,0.109
LSTM,0.9,42001,0.6,0.548,0.399,47.352,1.21,0.071
LSTM,0.9,42002,0.161,0.016,0.412,30.213,0.791,0.007
LSTM,0.9,42003,0.006,0.011,0.015,3.982,0.007,0.005
LSTM,0.9,42019,0.234,0.465,0.378,5.683,0.601,0.008
LSTM,0.9,42020,0.416,0.549,0.449,41.823,0.69,0.234
LSTM,0.9,42035,0.012,0.019,0.013,3.245,0.029,0.005
LSTM,0.9,42036,0.293,0.5,0.555,32.455,1.237,
LSTM,0.9,42039,0.602,,0.587,42.694,2.233,0.004
LSTM,0.9,42040,0.376,0.262,0.569,14.496,1.137,0.109
LSTM,1,42001,0.598,0.551,0.405,46.162,1.216,0.071
LSTM,1,42002,0.163,0.02,0.41,31.219,0.79,0.004
LSTM,1,42003,0.012,0.016,0.023,5.05,0.015,0.004
LSTM,1,42019,0.232,0.458,0.378,6.347,0.611,0.011
LSTM,1,42020,0.421,0.544,0.45,36.626,0.68,0.234
LSTM,1,42035,0.011,0.023,0.021,5.181,0.023,0.005
LSTM,1,42036,0.298,0.502,0.555,27.152,1.242,
LSTM,1,42039,0.598,,0.594,40.947,2.23,0.004
LSTM,1,42040,0.379,0.267,0.569,15.353,1.134,0.109
GRU,0,42001,0.593,0.725,0.547,46.309,1.297,0.123
GRU,0,42002,0.564,0.068,0.444,30.071,1.263,0.623
GRU,0,42003,0.197,0.416,0.119,0.155,0.574,0.46
GRU,0,42019,0.95,0.487,0.526,0.408,0.62,0.839
GRU,0,42020,0.618,0.565,0.473,28.619,0.656,0.4
GRU,0,42035,0.455,0.208,0.104,0.401,0.48,0.121
GRU,0,42036,0.786,0.826,0.577,24.949,1.253,
GRU,0,42039,0.862,,0.66,38,2.134,0.596
GRU,0,42040,0.423,0.255,0.831,11.641,1.186,0.993
GRU,0.1,42001,0.595,0.545,0.391,46.117,1.21,0.071
GRU,0.1,42002,0.159,0.01,0.4,29.926,0.77,0.005
GRU,0.1,42003,0.011,0.013,0.017,0.229,0.014,0.006
GRU,0.1,42019,0.23,0.459,0.368,0.35,0.598,0.008
GRU,0.1,42020,0.442,0.562,0.432,28.583,0.679,0.233
GRU,0.1,42035,0.008,0.017,0.025,0.274,0.016,0.006
GRU,0.1,42036,0.289,0.49,0.552,24.948,1.244,
GRU,0.1,42039,0.598,,0.59,37.651,2.216,0.003
GRU,0.1,42040,0.388,0.262,0.56,12.073,1.147,0.11
GRU,0.2,42001,0.598,0.548,0.397,45.895,1.213,0.072
GRU,0.2,42002,0.163,0.015,0.403,29.957,0.784,0.003
GRU,0.2,42003,0.009,0.011,0.02,0.188,0.007,0.005
GRU,0.2,42019,0.235,0.47,0.361,0.609,0.602,0.009
GRU,0.2,42020,0.443,0.551,0.432,28.84,0.686,0.235
GRU,0.2,42035,0.015,0.02,0.026,0.365,0.033,0.003
GRU,0.2,42036,0.286,0.49,0.554,24.96,1.248,
GRU,0.2,42039,0.599,,0.595,37.646,2.221,0.003
GRU,0.2,42040,0.382,0.265,0.572,11.965,1.138,0.108
GRU,0.3,42001,0.597,0.553,0.403,46,1.219,0.072
GRU,0.3,42002,0.163,0.017,0.399,29.85,0.791,0.003
GRU,0.3,42003,0.005,0.009,0.021,1.219,0.009,0.006
GRU,0.3,42019,0.239,0.464,0.364,0.746,0.611,0.007
GRU,0.3,42020,0.443,0.558,0.43,28.692,0.686,0.234
GRU,0.3,42035,0.014,0.018,0.031,0.326,0.026,0.002
GRU,0.3,42036,0.288,0.495,0.554,29.579,1.232,
GRU,0.3,42039,0.599,,0.597,41.76,2.223,0.003
GRU,0.3,42040,0.386,0.253,0.576,12.92,1.137,0.109
GRU,0.4,42001,0.599,0.554,0.397,44.856,1.21,0.071
GRU,0.4,42002,0.16,0.026,0.4,29.923,0.795,0.006
GRU,0.4,42003,0.006,0.011,0.021,4.313,0.017,0.005
GRU,0.4,42019,0.23,0.462,0.371,7.931,0.599,0.01
GRU,0.4,42020,0.43,0.554,0.431,30.608,0.68,0.234
GRU,0.4,42035,0.015,0.02,0.04,4.391,0.019,0.005
GRU,0.4,42036,0.292,0.493,0.555,29.775,1.236,
GRU,0.4,42039,0.603,,0.595,43.357,2.218,0.005
GRU,0.4,42040,0.386,0.267,0.567,14.544,1.139,0.109
GRU,0.5,42001,0.6,0.546,0.391,46.58,1.219,0.072
GRU,0.5,42002,0.165,0.025,0.395,29.922,0.792,0.007
GRU,0.5,42003,0.008,0.012,0.025,8.424,0.02,0.005
GRU,0.5,42019,0.235,0.454,0.361,11.17,0.605,0.009
GRU,0.5,42020,0.431,0.561,0.417,29.596,0.684,0.234
GRU,0.5,42035,0.03,0.039,0.041,4.642,0.028,0.004
GRU,0.5,42036,0.295,0.494,0.553,34.72,1.247,
GRU,0.5,42039,0.6,,0.593,45.888,2.218,0.007
GRU,0.5,42040,0.381,0.27,0.563,15.409,1.139,0.109
GRU,0.6,42001,0.599,0.551,0.39,46.65,1.21,0.072
GRU,0.6,42002,0.159,0.019,0.402,30.347,0.796,0.007
GRU,0.6,42003,0.006,0.008,0.025,4.051,0.025,0.006
GRU,0.6,42019,0.231,0.46,0.377,5.782,0.605,0.014
GRU,0.6,42020,0.424,0.559,0.435,36.79,0.694,0.235
GRU,0.6,42035,0.021,0.024,0.033,5.68,0.025,0.004
GRU,0.6,42036,0.296,0.503,0.547,30.939,1.234,
GRU,0.6,42039,0.601,,0.593,42.769,2.239,0.003
GRU,0.6,42040,0.37,0.268,0.562,15.008,1.132,0.108
GRU,0.7,42001,0.598,0.551,0.402,45.267,1.214,0.071
GRU,0.7,42002,0.162,0.015,0.41,30.394,0.792,0.006
GRU,0.7,42003,0.006,0.013,0.029,3.677,0.016,0.005
GRU,0.7,42019,0.232,0.465,0.381,5.939,0.603,0.015
GRU,0.7,42020,0.426,0.549,0.447,31.575,0.68,0.234
GRU,0.7,42035,0.008,0.014,0.02,6.58,0.027,0.006
GRU,0.7,42036,0.297,0.504,0.557,29.077,1.236,
GRU,0.7,42039,0.599,,0.592,42.722,2.208,0.005
GRU,0.7,42040,0.373,0.264,0.571,16.074,1.14,0.11
GRU,0.8,42001,0.597,0.551,0.407,42.589,1.215,0.071
GRU,0.8,42002,0.159,0.015,0.407,30.516,0.789,0.003
GRU,0.8,42003,0.009,0.014,0.02,6.326,0.016,0.006
GRU,0.8,42019,0.229,0.457,0.376,4.586,0.604,0.01
GRU,0.8,42020,0.42,0.549,0.448,33.167,0.678,0.235
GRU,0.8,42035,0.006,0.022,0.017,3.879,0.029,0.002
GRU,0.8,42036,0.29,0.498,0.551,28.085,1.24,
GRU,0.8,42039,0.604,,0.596,45.535,2.232,0.005
GRU,0.8,42040,0.375,0.261,0.57,16.748,1.13,0.109
GRU,0.9,42001,0.593,0.55,0.405,43.264,1.216,0.071
GRU,0.9,42002,0.161,0.014,0.41,30.622,0.793,0.004
GRU,0.9,42003,0.014,0.014,0.017,3.483,0.017,0.007
GRU,0.9,42019,0.229,0.455,0.382,6.645,0.589,0.01
GRU,0.9,42020,0.428,0.555,0.447,37.024,0.682,0.235
GRU,0.9,42035,0.004,0.019,0.011,3.611,0.024,0.004
GRU,0.9,42036,0.293,0.5,0.555,27.742,1.24,
GRU,0.9,42039,0.604,,0.597,40.806,2.221,0.003
GRU,0.9,42040,0.376,0.261,0.57,12.457,1.139,0.109
GRU,1,42001,0.597,0.549,0.408,45.759,1.213,0.072
GRU,1,42002,0.16,0.018,0.415,34.771,0.782,0.006
GRU,1,42003,0.01,0.017,0.025,2.839,0.009,0.005
GRU,1,42019,0.228,0.463,0.384,9.18,0.612,0.013
GRU,1,42020,0.423,0.554,0.445,38.981,0.693,0.234
GRU,1,42035,0.01,0.019,0.021,4.121,0.04,0.004
GRU,1,42036,0.295,0.504,0.556,31.465,1.251,
GRU,1,42039,0.605,,0.602,40.12,2.23,0.004
GRU,1,42040,0.374,0.265,0.576,13.097,1.119,0.109
CNN,0,42001,23.346,18.561,14.289,42.139,23.356,22.053
CNN,0,42002,28.675,21.083,32.553,34.875,26.222,18.106
CNN,0,42003,23.429,20.248,31.064,19.656,23.99,30.584
CNN,0,42019,23.011,29.598,29.726,23.949,20.387,23.921
CNN,0,42020,17.565,32.906,14.296,39.117,17.463,19.304
CNN,0,42035,18.378,20.128,25.044,23.484,25.641,20.872
CNN,0,42036,22.444,26.735,26.597,39.861,35.45,
CNN,0,42039,18.147,,21.345,42.965,24.422,22.82
CNN,0,42040,34.551,19.277,19.716,21.9,24.842,18.721
CNN,0.1,42001,0.645,0.62,0.49,47.018,1.321,0.174
CNN,0.1,42002,0.318,0.237,0.656,30.665,0.957,0.099
CNN,0.1,42003,0.095,0.207,0.196,5.837,0.285,0.115
CNN,0.1,42019,0.334,0.533,0.527,5.424,0.968,0.201
CNN,0.1,42020,0.495,0.695,0.628,28.648,0.809,0.314
CNN,0.1,42035,0.193,0.169,0.321,4.916,0.321,0.119
CNN,0.1,42036,0.339,0.514,0.773,26.105,1.415,
CNN,0.1,42039,0.635,,0.741,41.004,2.2,0.059
CNN,0.1,42040,0.529,0.349,0.615,12.907,1.179,0.282
CNN,0.2,42001,0.842,0.781,0.639,44.809,1.238,0.848
CNN,0.2,42002,0.443,0.459,1.067,37.943,1.386,0.994
CNN,0.2,42003,0.871,0.578,0.279,8.263,0.427,0.748
CNN,0.2,42019,0.814,0.537,0.566,9.376,0.805,0.399
CNN,0.2,42020,0.863,0.914,0.627,31.662,0.763,0.774
CNN,0.2,42035,0.668,0.337,0.732,9.201,0.376,0.793
CNN,0.2,42036,0.948,0.99,1.154,34.287,1.53,
CNN,0.2,42039,0.877,,0.725,36.395,2.415,0.116
CNN,0.2,42040,0.39,0.78,0.876,16.284,1.297,0.827
CNN,0.3,42001,0.884,0.623,0.411,53.501,1.333,0.242
CNN,0.3,42002,0.333,0.493,0.548,34.431,0.825,0.335
CNN,0.3,42003,0.194,0.246,0.234,5.633,0.291,0.135
CNN,0.3,42019,0.523,0.616,0.569,6.115,0.762,0.109
CNN,0.3,42020,0.519,0.648,0.569,34.919,0.853,0.521
CNN,0.3,42035,0.65,0.507,0.495,7.791,0.316,0.462
CNN,0.3,42036,0.505,0.798,0.696,26.615,1.196,
CNN,0.3,42039,1.033,,0.727,45.093,2.257,0.252
CNN,0.3,42040,0.775,0.42,0.576,13.47,1.211,0.217
CNN,0.4,42001,0.676,0.904,0.387,45.097,1.202,0.39
CNN,0.4,42002,0.413,0.762,0.642,36.386,1.353,0.761
CNN,0.4,42003,0.341,0.218,0.394,8.325,0.35,0.472
CNN,0.4,42019,0.516,0.613,0.481,11.607,0.798,0.085
CNN,0.4,42020,0.575,0.549,0.676,36.805,0.773,0.443
CNN,0.4,42035,0.362,0.487,0.327,6.308,0.444,0.287
CNN,0.4,42036,0.722,0.618,0.771,28.775,1.411,
CNN,0.4,42039,0.824,,0.783,47.324,2.185,1.123
CNN,0.4,42040,0.409,0.738,0.755,18.074,1.241,0.229
CNN,0.5,42001,0.649,0.603,0.697,46.509,1.267,0.15
CNN,0.5,42002,0.388,0.349,0.657,31.672,1.262,0.331
CNN,0.5,42003,0.115,0.414,0.271,6.566,0.434,0.279
CNN,0.5,42019,1.233,0.585,0.424,9.046,1.459,0.375
CNN,0.5,42020,0.631,1.042,0.533,30.813,0.613,0.469
CNN,0.5,42035,0.285,0.404,0.237,8.669,0.944,0.128
CNN,0.5,42036,0.438,1.07,1.09,24.188,1.216,
CNN,0.5,42039,0.639,,0.643,42.483,2.086,0.46
CNN,0.5,42040,0.522,0.365,0.838,9.58,1.359,0.421
CNN,0.6,42001,0.615,0.661,0.567,45.575,1.352,0.298
CNN,0.6,42002,0.503,0.441,0.49,30.397,0.809,0.455
CNN,0.6,42003,0.248,0.284,0.251,4.675,0.319,0.264
CNN,0.6,42019,0.607,0.611,0.372,5.234,0.879,0.193
CNN,0.6,42020,0.516,0.599,0.527,35.571,0.816,0.376
CNN,0.6,42035,0.296,0.357,0.326,3.262,0.397,0.286
CNN,0.6,42036,0.524,0.696,0.679,34.625,1.426,
CNN,0.6,42039,0.658,,0.794,43.373,2.307,0.124
CNN,0.6,42040,0.488,0.429,0.602,12.305,1.211,0.241
CNN,0.7,42001,0.64,0.639,0.409,50.122,1.135,0.202
CNN,0.7,42002,0.346,0.273,0.699,32.025,0.913,0.131
CNN,0.7,42003,0.189,0.162,0.426,10.573,0.316,0.312
CNN,0.7,42019,0.346,0.594,0.735,10.266,0.811,0.086
CNN,0.7,42020,0.45,0.639,0.557,35.805,0.719,0.36
CNN,0.7,42035,0.34,0.41,0.434,4.687,0.458,0.145
CNN,0.7,42036,0.308,0.506,0.685,30.074,1.518,
CNN,0.7,42039,0.753,,0.867,39.957,2.447,0.226
CNN,0.7,42040,0.504,0.329,0.686,16.444,1.121,0.23
CNN,0.8,42001,0.671,0.507,0.417,46.066,1.148,0.31
CNN,0.8,42002,0.415,0.385,0.413,29.89,0.956,0.165
CNN,0.8,42003,0.25,0.156,0.248,3.596,0.125,0.364
CNN,0.8,42019,0.321,0.565,0.392,2.721,0.668,0.238
CNN,0.8,42020,0.493,0.58,0.447,31.904,0.68,0.305
CNN,0.8,42035,0.289,0.342,0.152,2.842,0.259,0.197
CNN,0.8,42036,0.442,0.569,0.53,26.228,1.218,
CNN,0.8,42039,0.671,,0.639,42.348,2.168,0.44
CNN,0.8,42040,0.548,0.309,0.607,13.324,1.248,0.313
CNN,0.9,42001,0.642,0.634,0.732,49.053,1.299,0.435
CNN,0.9,42002,0.39,0.411,0.721,30.055,1.052,0.469
CNN,0.9,42003,0.281,0.222,0.194,2.786,0.254,0.216
CNN,0.9,42019,0.346,0.557,0.493,3.785,0.705,0.32
CNN,0.9,42020,0.533,0.548,0.555,30.451,0.889,0.645
CNN,0.9,42035,0.37,0.277,0.269,5.573,0.338,0.331
CNN,0.9,42036,0.348,0.668,0.711,31.152,1.304,
CNN,0.9,42039,0.901,,0.821,43.85,2.253,0.306
CNN,0.9,42040,0.675,0.53,0.532,19.495,1.003,0.277
CNN,1,42001,1.011,0.743,0.545,46.633,1.414,0.492
CNN,1,42002,0.34,0.295,0.502,39.649,0.926,0.208
CNN,1,42003,0.351,0.377,0.525,1.906,0.273,0.26
CNN,1,42019,0.395,0.618,0.657,5.748,0.855,0.422
CNN,1,42020,0.585,0.618,0.499,27.729,0.743,0.526
CNN,1,42035,0.514,0.255,0.314,4.026,0.374,0.313
CNN,1,42036,0.388,0.573,0.71,32.484,1.458,
CNN,1,42039,0.816,,0.861,47.425,2.409,0.377
CNN,1,42040,0.673,0.369,0.675,12.766,1.416,0.543
TCN,0,42001,15.455,6.182,18.66,49.759,9.74,12.461
TCN,0,42002,15.386,14.017,12.344,31.245,6.285,8.92
TCN,0,42003,11.17,8.24,9.223,11.14,7.613,8.81
TCN,0,42019,5.131,13.375,6.074,7.842,5.746,13.382
TCN,0,42020,12.282,12.466,5.384,30.874,9.676,14.327
TCN,0,42035,6.611,10.568,17.13,8.936,5.228,11.33
TCN,0,42036,19.406,6.515,9.761,32.303,13.52,
TCN,0,42039,11.138,,5.602,45.446,11.56,12.5
TCN,0,42040,9.932,7.975,6.966,19.499,9.843,16.166
TCN,0.1,42001,0.587,0.637,0.411,46.809,1.238,0.171
TCN,0.1,42002,0.275,0.106,0.355,30.465,0.868,0.148
TCN,0.1,42003,0.104,0.167,0.132,2.37,0.195,0.094
TCN,0.1,42019,0.373,0.622,0.433,2.853,0.821,0.096
TCN,0.1,42020,0.55,0.58,0.545,29.079,0.762,0.265
TCN,0.1,42035,0.166,0.323,0.202,2.126,0.208,0.101
TCN,0.1,42036,0.399,0.582,0.664,27.299,1.319,
TCN,0.1,42039,0.656,,0.63,38.781,2.121,0.099
TCN,0.1,42040,0.441,0.353,0.63,11.865,1.207,0.161
TCN,0.2,42001,0.629,0.515,0.739,46.816,1.593,0.278
TCN,0.2,42002,0.262,0.359,0.774,30.365,0.85,0.162
TCN,0.2,42003,0.123,0.211,0.373,2.661,0.834,0.249
TCN,0.2,42019,0.567,0.682,0.63,4.609,0.991,0.216
TCN,0.2,42020,0.522,0.696,0.471,33.535,0.848,0.417
TCN,0.2,42035,0.286,0.521,0.504,4.486,0.647,0.302
TCN,0.2,42036,0.479,0.561,0.953,26.343,1.2,
TCN,0.2,42039,0.738,,0.826,41.891,2.367,0.267
TCN,0.2,42040,0.458,0.429,0.579,12.883,1.278,0.218
TCN,0.3,42001,0.745,0.711,0.554,46.52,1.398,0.112
TCN,0.3,42002,0.304,0.128,0.361,32.659,0.918,0.127
TCN,0.3,42003,0.167,0.204,0.189,5.066,0.282,0.172
TCN,0.3,42019,0.37,0.621,0.479,3.335,0.632,0.271
TCN,0.3,42020,0.46,0.651,0.455,27.944,0.708,0.34
TCN,0.3,42035,0.25,0.232,0.268,1.712,0.193,0.21
TCN,0.3,42036,0.383,0.483,0.619,27.522,1.161,
TCN,0.3,42039,0.728,,0.674,43.112,2.083,0.147
TCN,0.3,42040,0.425,0.265,0.569,14.518,1.168,0.17
TCN,0.4,42001,0.699,0.591,0.434,49.917,1.459,0.227
TCN,0.4,42002,0.414,0.567,0.76,33.623,1.086,0.292
TCN,0.4,42003,0.201,0.45,0.299,4.228,0.532,0.135
TCN,0.4,42019,0.522,0.685,0.522,4.731,1.027,0.218
TCN,0.4,42020,0.656,0.738,0.427,30.647,0.772,0.51
TCN,0.4,42035,0.494,0.378,0.417,3.194,0.651,0.264
TCN,0.4,42036,0.456,0.589,0.789,28.468,1.549,
TCN,0.4,42039,0.926,,0.841,43.76,2.45,0.281
TCN,0.4,42040,0.544,0.602,0.624,14.412,1.362,0.25
TCN,0.5,42001,0.53,0.575,0.68,46.593,1.36,0.152
TCN,0.5,42002,0.374,0.3,0.757,34.936,1.444,0.257
TCN,0.5,42003,0.147,0.229,0.231,3.956,0.594,0.161
TCN,0.5,42019,0.444,0.647,0.717,4.201,0.893,0.195
TCN,0.5,42020,0.538,0.641,0.437,32.838,0.819,0.44
TCN,0.5,42035,0.43,0.293,0.391,7.066,0.545,0.189
TCN,0.5,42036,0.461,0.585,0.551,32.04,1.369,
TCN,0.5,42039,0.679,,0.992,40.146,2.296,0.262
TCN,0.5,42040,0.424,0.454,0.865,14.116,1.278,0.212
TCN,0.6,42001,0.769,0.577,0.754,44.702,1.201,0.153
TCN,0.6,42002,0.236,0.267,0.428,29.091,1.337,0.22
TCN,0.6,42003,0.182,0.15,0.192,1.458,0.384,0.203
TCN,0.6,42019,0.306,0.641,0.519,2.413,0.78,0.212
TCN,0.6,42020,0.597,0.69,0.515,40.647,0.907,0.293
TCN,0.6,42035,0.392,0.437,0.442,5.562,0.366,0.346
TCN,0.6,42036,0.343,0.65,0.826,33.646,1.323,
TCN,0.6,42039,0.769,,0.838,39.599,2.299,0.448
TCN,0.6,42040,0.57,0.461,0.722,10.69,1.257,0.448
TCN,0.7,42001,0.618,0.57,0.49,48.9,1.234,0.182
TCN,0.7,42002,0.397,0.145,0.568,30.051,0.854,0.239
TCN,0.7,42003,0.227,0.169,0.224,2.857,0.315,0.163
TCN,0.7,42019,0.373,0.624,0.613,2.038,0.746,0.192
TCN,0.7,42020,0.491,0.581,0.526,39.687,0.726,0.276
TCN,0.7,42035,0.208,0.247,0.364,1.97,0.332,0.217
TCN,0.7,42036,0.458,0.592,0.757,30.181,1.244,
TCN,0.7,42039,0.657,,0.509,42.53,1.982,0.21
TCN,0.7,42040,0.47,0.352,0.565,17.636,1.162,0.242
TCN,0.8,42001,0.64,1.057,0.848,49.488,1.675,0.624
TCN,0.8,42002,0.884,0.266,0.565,32.841,0.866,0.794
TCN,0.8,42003,0.245,0.215,0.394,10.714,0.539,0.549
TCN,0.8,42019,0.332,0.659,0.664,4.03,0.712,0.565
TCN,0.8,42020,0.659,0.776,0.605,37.749,0.938,0.677
TCN,0.8,42035,0.313,0.412,0.472,10.752,0.346,0.315
TCN,0.8,42036,0.575,0.584,0.544,37.568,1.461,
TCN,0.8,42039,0.862,,0.576,42.47,2.089,0.39
TCN,0.8,42040,0.642,0.613,0.746,20.879,1.439,0.572
TCN,0.9,42001,0.707,0.72,0.596,48.65,1.196,0.265
TCN,0.9,42002,0.615,0.392,0.574,32.605,0.869,0.329
TCN,0.9,42003,0.364,0.353,0.189,8.307,0.142,0.377
TCN,0.9,42019,0.495,0.488,0.576,5.272,0.865,0.227
TCN,0.9,42020,0.631,0.689,0.662,29.848,0.715,0.479
TCN,0.9,42035,0.475,0.298,0.272,1.495,0.44,0.369
TCN,0.9,42036,0.615,0.712,0.862,29.598,1.351,
TCN,0.9,42039,0.901,,0.893,46.128,2.431,0.404
TCN,0.9,42040,0.51,0.342,0.612,11.328,1.167,0.424
TCN,1,42001,0.649,0.542,0.464,46.112,1.307,0.186
TCN,1,42002,0.332,0.096,0.53,32.045,0.905,0.134
TCN,1,42003,0.13,0.096,0.146,2.251,0.26,0.103
TCN,1,42019,0.301,0.422,0.441,3.415,0.672,0.084
TCN,1,42020,0.554,0.649,0.505,35.909,0.658,0.281
TCN,1,42035,0.138,0.147,0.097,2.867,0.202,0.128
TCN,1,42036,0.366,0.51,0.595,26.984,1.301,
TCN,1,42039,0.646,,0.613,46.04,2.373,0.122
TCN,1,42040,0.427,0.37,0.604,14.752,1.205,0.172
